title,price,bedrooms,bathrooms,living_space
5 Bedroom Villa in Cascais,10000,5,4,320.0
2 Bedroom Town House in Penela,450,2,1,95.0
1 Bedroom Apartment in Loule,850,1,1,56.0
4 Bedroom Apartment in Cascais,9700,4,5,N/A
Commercial Property in Vila Franca de Xira,800,N/A,1,150.0
Commercial Property in Funchal,500,N/A,N/A,43.0
3 Bedroom Apartment in Cascais,3750,3,2,142.0
4 Bedroom Apartment in Oeiras,1950,4,2,105.0
4 Bedroom Villa in Cascais,7500,4,4,270.0
2 Bedroom Apartment in Funchal,1500,2,1,91.0
5 Bedroom Villa in Tavira,2500,5,3,296.0
Commercial Property in Lisbon,700,1,1,N/A
2 Bedroom Apartment in Alcabideche,1975,2,1,82.0
2 Bedroom Apartment in Faro,1100,2,2,104.0
1 Bedroom Apartment in Lisbon,1750,1,N/A,102.0
Commercial Property in Funchal,5000,N/A,N/A,183.0
2 Bedroom Apartment in Almada,1400,2,1,92.0
2 Bedroom Apartment in Vila Real de Santo Antonio,980,2,2,90.0
Commercial Property in Loule,400,N/A,2,36.0
1 Bedroom Apartment in Porto,1000,1,1,43.0
2 Bedroom Apartment in Lisbon,2750,2,N/A,N/A
Apartment in Cascais,1150,N/A,N/A,60.0
Commercial Property in Machico,450,N/A,N/A,37.0
1 Bedroom Apartment in Funchal,950,1,2,95.0
Commercial Property in Funchal,5500,N/A,N/A,203.0
1 Bedroom Apartment in Lisbon,2100,1,1,63.0
1 Bedroom Apartment in Funchal,1250,1,1,150.0
5 Bedroom Villa in Alcabideche,5000,5,3,242.0
Commercial Property in Porto,8500,N/A,1,351.0
Commercial Property in Machico,450,N/A,N/A,28.0
Commercial Property in Almada,1800,N/A,1,195.0
Commercial Property in Funchal,5000,N/A,N/A,183.0
5 Bedroom Villa in Alcabideche,6500,5,4,238.0
4 Bedroom Town House in Cascais,4500,4,3,180.0
1 Bedroom Apartment in Cascais,2500,1,2,57.0
3 Bedroom Apartment in Lisbon,3500,3,3,220.0
2 Bedroom Duplex in Moscavide-Parque das Nacoes,3500,2,3,158.0
Commercial Property in Caldas da Rainha,8000,N/A,6,1.38
4 Bedroom Town House in Sao Bras de Alportel,3500,4,2,351.0
1 Bedroom Apartment in Porto,1350,1,1,52.0
4 Bedroom Villa in Sao Domingos de Rana,3800,4,3,348.0
3 Bedroom Villa in Cascais,5800,3,4,173.0
Commercial Property in Vila Nova de Cerveira,499,N/A,N/A,45.0
Commercial Property in Vila Nova de Cerveira,490,N/A,N/A,43.0
2 Bedroom Apartment in Lisbon,2300,2,2,N/A
3 Bedroom Town House in Palmela,1500,3,2,108.0
2 Bedroom Apartment in Vila Nova de Gaia,1400,2,2,119.0
Commercial Property in Lisbon,38000,N/A,4,1.13
4 Bedroom Apartment in Cascais,3000,4,2,183.0
1 Bedroom Apartment in Lisbon,1700,1,1,55.0
4 Bedroom Villa in Sintra,2973,4,3,221.0
3 Bedroom Apartment in Odivelas,2900,3,3,175.0
1 Bedroom Apartment in Lisbon,2000,1,1,71.0
Commercial Property in Amarante,500,N/A,1,95.0
1 Bedroom Apartment in Lisbon,2950,1,N/A,68.0
6 Bedroom Town House in Lisbon,15000,6,4,670.0
Apartment in Monte Gordo,650,N/A,1,37.0
Commercial Property in Funchal,5000,N/A,N/A,184.0
Commercial Property in Funchal,6500,N/A,N/A,253.0
3 Bedroom Apartment in Cascais,6800,3,4,230.0
Commercial Property in Lisbon,2200,N/A,1,155.0
4 Bedroom Villa in Cascais,6900,4,4,315.0
3 Bedroom Apartment in Alenquer,1200,3,N/A,84.0
Apartment in Matosinhos,1100,N/A,1,43.0
4 Bedroom Apartment in Lisbon,2550,4,3,192.0
2 Bedroom Apartment in Conceicao e Cabanas de Tavira,950,2,2,83.0
Commercial Property in Oeiras,1380,N/A,N/A,87.0
Commercial Property in Faro,15000,N/A,1,50.0
Commercial Property in Funchal,6500,N/A,N/A,255.0
Commercial Property in Oeiras,6000,N/A,2,436.0
3 Bedroom Town House in Alcabideche,5500,3,4,284.0
4 Bedroom Farm in Ponte de Lima,2500,4,4,350.0
Commercial Property in Sintra,10500,N/A,6,1.574
4 Bedroom Apartment in Lisbon,2550,4,3,192.0
1 Bedroom Apartment in Lisbon,1950,1,1,63.0
2 Bedroom Apartment in Castro Marim,850,2,1,59.0
3 Bedroom Apartment in Alenquer,1200,3,N/A,96.0
4 Bedroom Apartment in Porto,3300,4,3,150.0
Commercial Property in Porto,550,N/A,1,47.0
1 Bedroom Apartment in Monte Gordo,800,1,1,60.0
1 Bedroom Apartment in Castro Marim,650,1,1,66.0
4 Bedroom Villa in Castro Marim,5000,4,4,450.0
Commercial Property in Lisbon,550,N/A,N/A,27.0
3 Bedroom Apartment in Lisbon,1950,3,2,120.0
2 Bedroom Apartment in Funchal,1800,2,N/A,101.0
5 Bedroom Villa in Alcabideche,25000,5,8,500.0
Commercial Property in Sesimbra,5000,N/A,2,550.0
2 Bedroom Villa in Cascais,6000,2,3,210.0
Commercial Property in Lisbon,1200,N/A,N/A,55.0
1 Bedroom Apartment in Monte Gordo,650,1,1,55.0
Commercial Property in Loule,40000,N/A,2,72.0
Commercial Property in Oliveira do Bairro,450,N/A,2,171.0
1 Bedroom Apartment in Albufeira,850,1,1,57.0
Commercial Property in Tondela,900,N/A,1,174.0
4 Bedroom Villa in Vau,5000,4,4,250.0
Villa in Covilha,6000,N/A,N/A,2.9
2 Bedroom Apartment in Atouguia da Baleia,1500,2,1,94.0
1 Bedroom Apartment in Castro Marim,650,1,1,72.0
Commercial Property in Lisbon,1600,N/A,N/A,49.0
Commercial Property in Lisbon,3700,N/A,N/A,266.0
